{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8575 -0.2996 -0.0081
  -4.889 -4.716  5  10  121    0.6500 -0.1865  0.5000
  -4.716 -4.538  5  10  145    0.7549 -0.0311  0.1203
  -4.538 -4.363  5  10  173    0.7391 -0.1101  0.1389
  -4.363 -4.191  5  10  205    0.7109  0.0396  0.4719
  -4.191 -4.013  5  10  245    0.7731  0.0239  0.3347
  -4.013 -3.839  5  10  292    0.8109  0.0336  0.3185
  -3.839 -3.664  5  10  348    0.8622  0.0016  0.2608
  -3.664 -3.489  5  10  414    0.8769  0.0658  0.4711
  -3.489 -3.314  5  10  493    0.9331  0.0482  0.2911
  -3.314 -3.139  5  10  588    0.9084  0.0819  0.4173
  -3.139 -2.964  5  10  700    0.8516  0.0964  0.5000
  -2.964 -2.853  5  10  781    0.7433  0.1256  0.1949
  -2.853 -2.650  5  10  956    0.7328  0.1000  0.3342
  -2.650 -2.500  5  10 1108    0.8188  0.0640 -0.5000
  -2.500 -2.322  5  10 1321    0.8740  0.0838  0.1810
  -2.322 -2.172  5  10 1529    0.9710  0.0105 -0.2643
  -2.172 -2.043  5  10 1733    0.9644  0.0113 -0.1169
  -2.043 -1.930  5  10 1933    0.9653  0.0255 -0.0597
  -1.930 -1.830  5  10 2126    0.9697  0.0382 -0.0446
  -1.830 -1.740  5  10 2315    0.9791  0.0281 -0.1370
  -1.740 -1.653  5  10 2511    0.9733  0.0371 -0.0623
  -1.653 -1.566  5  10 2721    0.9687  0.0467  0.0050
  -1.566 -1.479  5  10 2946    0.9668  0.0205 -0.0297
  -1.479 -1.392  5  10 3183    1.0336 -0.0678 -0.5000
  -1.392 -1.305  5  10 3435    1.0204 -0.0378 -0.2475
  -1.305 -1.218  5  10 3699    1.0240 -0.0302 -0.2517
  -1.218 -1.131  5  10 3974    1.0020 -0.0109 -0.0759
  -1.131 -1.044  5  10 4259    0.9978 -0.0143 -0.0404
  -1.044 -0.957  5  10 4551    1.0076 -0.0141 -0.1033
  -0.957 -0.879  5  10 4816    1.0037 -0.0088 -0.0429
  -0.879 -0.783  5  10 5141    1.0001 -0.0020 -0.0094
  -0.783 -0.696  5  10 5430    1.0003  0.0013  0.0245
