{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.7305 -0.4178 -0.5000
  -4.889 -4.716  5  10  121    0.6299 -0.0170  0.4590
  -4.716 -4.538  5  10  145    0.7401  0.0821  0.5000
  -4.538 -4.363  5  10  173    0.7623 -0.0596  0.3318
  -4.363 -4.191  5  10  205    0.7443 -0.0642  0.4891
  -4.191 -4.013  5  10  245    0.7833 -0.0900  0.4500
  -4.013 -3.839  5  10  292    0.8075 -0.0581  0.5000
  -3.839 -3.664  5  10  348    0.8549 -0.0468  0.5000
  -3.664 -3.489  5  10  414    0.8973 -0.0307  0.5000
  -3.489 -3.314  5  10  493    0.9464 -0.0333  0.5000
  -3.314 -3.139  5  10  588    0.9401 -0.0282  0.5000
  -3.139 -2.964  5  10  700    0.8307  0.0902  0.5000
  -2.964 -2.853  5  10  781    0.7569  0.1103 -0.1347
  -2.853 -2.650  5  10  956    0.7124  0.1256  0.1960
  -2.650 -2.500  5  10 1108    0.7261  0.1591  0.3242
  -2.500 -2.322  5  10 1321    0.8627  0.0768  0.1347
  -2.322 -2.172  5  10 1529    0.9513  0.0142 -0.1349
  -2.172 -2.043  5  10 1733    0.9428  0.0221 -0.0088
  -2.043 -1.930  5  10 1933    0.9464  0.0296  0.0111
  -1.930 -1.830  5  10 2126    0.9621  0.0356 -0.0399
  -1.830 -1.740  5  10 2315    0.9669  0.0354 -0.0637
  -1.740 -1.653  5  10 2511    0.9674  0.0375 -0.0684
  -1.653 -1.566  5  10 2721    0.9664  0.0465 -0.0406
  -1.566 -1.479  5  10 2946    0.9683  0.0138 -0.0696
  -1.479 -1.392  5  10 3183    1.0016 -0.0378 -0.1813
  -1.392 -1.305  5  10 3435    1.0128 -0.0301 -0.1550
  -1.305 -1.218  5  10 3699    1.0049 -0.0062 -0.0790
  -1.218 -1.131  5  10 3974    0.9966 -0.0039 -0.0380
  -1.131 -1.044  5  10 4259    0.9908 -0.0035 -0.0087
  -1.044 -0.957  5  10 4551    0.9966  0.0001 -0.0117
  -0.957 -0.879  5  10 4816    0.9981 -0.0007  0.0011
  -0.879 -0.783  5  10 5141    0.9998 -0.0013 -0.0060
  -0.783 -0.696  5  10 5430    1.0004  0.0036  0.0103
  -0.696 -0.609  5  10 5708    1.0048 -0.0031 -0.0037
