{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0668  0.0268  0.0851
  -4.889 -4.716  5  10  121    1.0122  0.0972  0.5000
  -4.716 -4.538  5  10  145    1.0338 -0.0711 -0.1069
  -4.538 -4.363  5  10  173    0.9645  0.2466  0.5000
  -4.363 -4.191  5  10  205    0.9292  0.1230  0.3376
  -4.191 -4.013  5  10  245    0.9656  0.0007  0.0961
  -4.013 -3.839  5  10  292    0.9238  0.1755  0.4393
  -3.839 -3.664  5  10  348    0.9487  0.0873  0.2921
  -3.664 -3.489  5  10  414    0.9510  0.0867  0.2763
  -3.489 -3.314  5  10  493    0.9875  0.0303  0.0951
  -3.314 -3.139  5  10  588    0.9429  0.0886  0.2708
  -3.139 -2.964  5  10  700    0.8680  0.1220  0.5000
  -2.964 -2.853  5  10  781    0.7657  0.1263 -0.2383
  -2.853 -2.650  5  10  956    0.7500  0.1256  0.2936
  -2.650 -2.500  5  10 1108    0.8119  0.1032  0.0490
  -2.500 -2.322  5  10 1321    0.8933  0.0829  0.1238
  -2.322 -2.172  5  10 1529    0.9782  0.0183 -0.2482
  -2.172 -2.043  5  10 1733    0.9671  0.0187 -0.0968
  -2.043 -1.930  5  10 1933    0.9678  0.0315 -0.0368
  -1.930 -1.830  5  10 2126    0.9731  0.0443 -0.0348
  -1.830 -1.740  5  10 2315    0.9761  0.0407 -0.0573
  -1.740 -1.653  5  10 2511    0.9689  0.0464 -0.0218
  -1.653 -1.566  5  10 2721    0.9664  0.0523  0.0078
  -1.566 -1.479  5  10 2946    0.9611  0.0288  0.0256
  -1.479 -1.392  5  10 3183    1.0218 -0.0499 -0.3931
  -1.392 -1.305  5  10 3435    1.0125 -0.0282 -0.2055
  -1.305 -1.218  5  10 3699    1.0166 -0.0226 -0.1846
  -1.218 -1.131  5  10 3974    1.0009 -0.0122 -0.0723
  -1.131 -1.044  5  10 4259    0.9966 -0.0129 -0.0374
  -1.044 -0.957  5  10 4551    1.0014 -0.0063 -0.0586
  -0.957 -0.879  5  10 4816    1.0028 -0.0086 -0.0445
  -0.879 -0.783  5  10 5141    1.0031 -0.0058 -0.0326
  -0.783 -0.696  5  10 5430    0.9951  0.0088  0.0582
  -0.696 -0.609  5  10 5708    1.0042  0.0004  0.0118
  -0.609 -0.522  5  10 5968    1.0054 -0.0061 -0.0223
  -0.522 -0.435  5  10 6203    0.9962  0.0045  0.0281
  -0.435 -0.348  5  10 6408    1.0004 -0.0029 -0.0021
  -0.348 -0.261  5  10 6574    0.9971  0.0077  0.0586
  -0.261 -0.174  5  10 6698    1.0037  0.0081  0.0126
  -0.174 -0.087  5  10 6774    0.9969  0.0107  0.0672
  -0.087 -0.000  5  10 6800    0.9928  0.0069  0.0869
  +0.000 +0.087  5  10 6800    0.9928  0.0069  0.0869
  +0.087 +0.174  5  10 6774    0.9969  0.0107  0.0672
  +0.174 +0.261  5  10 6698    1.0037  0.0081  0.0126
  +0.261 +0.348  5  10 6574    0.9971  0.0077  0.0586
  +0.348 +0.435  5  10 6408    1.0004 -0.0029 -0.0021
  +0.435 +0.522  5  10 6203    0.9962  0.0045  0.0281
  +0.522 +0.609  5  10 5968    1.0054 -0.0061 -0.0223
  +0.609 +0.696  5  10 5708    1.0042  0.0004  0.0118
  +0.696 +0.783  5  10 5430    0.9951  0.0088  0.0582
  +0.783 +0.879  5  10 5141    1.0031 -0.0058 -0.0326
  +0.879 +0.957  5  10 4816    1.0028 -0.0086 -0.0445
  +0.957 +1.044  5  10 4551    1.0014 -0.0063 -0.0586
  +1.044 +1.131  5  10 4259    0.9966 -0.0129 -0.0374
  +1.131 +1.218  5  10 3974    1.0009 -0.0122 -0.0723
  +1.218 +1.305  5  10 3699    1.0166 -0.0226 -0.1846
  +1.305 +1.392  5  10 3435    1.0125 -0.0282 -0.2055
  +1.392 +1.479  5  10 3183    1.0218 -0.0499 -0.3931
  +1.479 +1.566  5  10 2946    0.9611  0.0288  0.0256
  +1.566 +1.653  5  10 2721    0.9664  0.0523  0.0078
  +1.653 +1.740  5  10 2511    0.9689  0.0464 -0.0218
  +1.740 +1.830  5  10 2315    0.9761  0.0407 -0.0573
  +1.830 +1.930  5  10 2126    0.9731  0.0443 -0.0348
  +1.930 +2.043  5  10 1933    0.9678  0.0315 -0.0368
  +2.043 +2.172  5  10 1733    0.9671  0.0187 -0.0968
  +2.172 +2.322  5  10 1529    0.9782  0.0183 -0.2482
  +2.322 +2.500  5  10 1321    0.8933  0.0829  0.1238
  +2.500 +2.650  5  10 1108    0.8119  0.1032  0.0490
  +2.650 +2.853  5  10  956    0.7500  0.1256  0.2936
  +2.853 +2.964  5  10  781    0.7657  0.1263 -0.2383
  +2.964 +3.139  5  10  700    0.8680  0.1220  0.5000
  +3.139 +3.314  5  10  588    0.9429  0.0886  0.2708
  +3.314 +3.489  5  10  493    0.9875  0.0303  0.0951
  +3.489 +3.664  5  10  414    0.9510  0.0867  0.2763
  +3.664 +3.839  5  10  348    0.9487  0.0873  0.2921
  +3.839 +4.013  5  10  292    0.9238  0.1755  0.4393
  +4.013 +4.191  5  10  245    0.9656  0.0007  0.0961
  +4.191 +4.363  5  10  205    0.9292  0.1230  0.3376
  +4.363 +4.538  5  10  173    0.9645  0.2466  0.5000
  +4.538 +4.716  5  10  145    1.0338 -0.0711 -0.1069
  +4.716 +4.889  5  10  121    1.0122  0.0972  0.5000
  +4.889 +5.191  5  10  102    1.0668  0.0268  0.0851
