{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9771 -0.0660  0.0873
  -4.889 -4.716  5  10  121    0.9366  0.0254  0.5000
  -4.716 -4.538  5  10  145    0.9437  0.0846  0.2194
  -4.538 -4.363  5  10  173    0.9062  0.1407  0.3877
  -4.363 -4.191  5  10  205    0.9320  0.0258  0.0648
  -4.191 -4.013  5  10  245    0.9125  0.0982  0.2364
  -4.013 -3.839  5  10  292    0.9051  0.1119  0.3407
  -3.839 -3.664  5  10  348    0.9182  0.0831  0.2894
  -3.664 -3.489  5  10  414    0.9331  0.0568  0.2203
  -3.489 -3.314  5  10  493    0.9547  0.0619  0.1472
  -3.314 -3.139  5  10  588    0.9481  0.0701  0.1960
  -3.139 -2.964  5  10  700    0.8688  0.0976  0.4136
  -2.964 -2.853  5  10  781    0.7428  0.1445  0.1872
  -2.853 -2.650  5  10  956    0.7883  0.0957 -0.5000
  -2.650 -2.500  5  10 1108    0.8171  0.1160 -0.1388
  -2.500 -2.322  5  10 1321    0.9268  0.0257 -0.5000
  -2.322 -2.172  5  10 1529    0.9708  0.0225 -0.4347
  -2.172 -2.043  5  10 1733    0.9541  0.0262 -0.2529
  -2.043 -1.930  5  10 1933    0.9534  0.0262 -0.2534
  -1.930 -1.830  5  10 2126    0.9406  0.0363 -0.1729
  -1.830 -1.740  5  10 2315    0.9505  0.0321 -0.3033
  -1.740 -1.653  5  10 2511    0.9399  0.0406 -0.1721
  -1.653 -1.566  5  10 2721    0.9362  0.0440 -0.1009
  -1.566 -1.479  5  10 2946    0.9376  0.0155 -0.1111
  -1.479 -1.392  5  10 3183    0.9496  0.0273 -0.0433
  -1.392 -1.305  5  10 3435    0.9661  0.0551  0.0265
  -1.305 -1.218  5  10 3699    0.9727  0.0530  0.0322
  -1.218 -1.131  5  10 3974    0.9728  0.0322  0.0502
  -1.131 -1.044  5  10 4259    0.9784  0.0174  0.0216
  -1.044 -0.957  5  10 4551    0.9796  0.0180  0.0282
  -0.957 -0.879  5  10 4816    0.9842  0.0093  0.0290
  -0.879 -0.783  5  10 5141    0.9941  0.0025 -0.0050
  -0.783 -0.696  5  10 5430    0.9950  0.0137  0.0400
  -0.696 -0.609  5  10 5708    1.0037 -0.0044 -0.0065
  -0.609 -0.522  5  10 5968    1.0067 -0.0077 -0.0060
  -0.522 -0.435  5  10 6203    1.0110 -0.0081 -0.0194
  -0.435 -0.348  5  10 6408    1.0163 -0.0127 -0.0287
  -0.348 -0.261  5  10 6574    1.0124 -0.0156 -0.0066
  -0.261 -0.174  5  10 6698    1.0132 -0.0172 -0.0060
  -0.174 -0.087  5  10 6774    1.0130 -0.0082  0.0229
  -0.087 -0.000  5  10 6800    1.0124 -0.0240  0.0019
  +0.000 +0.087  5  10 6800    1.0124 -0.0240  0.0019
  +0.087 +0.174  5  10 6774    1.0130 -0.0082  0.0229
  +0.174 +0.261  5  10 6698    1.0132 -0.0172 -0.0060
  +0.261 +0.348  5  10 6574    1.0124 -0.0156 -0.0066
  +0.348 +0.435  5  10 6408    1.0163 -0.0127 -0.0287
  +0.435 +0.522  5  10 6203    1.0110 -0.0081 -0.0194
  +0.522 +0.609  5  10 5968    1.0067 -0.0077 -0.0060
  +0.609 +0.696  5  10 5708    1.0037 -0.0044 -0.0065
  +0.696 +0.783  5  10 5430    0.9950  0.0137  0.0400
  +0.783 +0.879  5  10 5141    0.9941  0.0025 -0.0050
  +0.879 +0.957  5  10 4816    0.9842  0.0093  0.0290
  +0.957 +1.044  5  10 4551    0.9796  0.0180  0.0282
  +1.044 +1.131  5  10 4259    0.9784  0.0174  0.0216
  +1.131 +1.218  5  10 3974    0.9728  0.0322  0.0502
  +1.218 +1.305  5  10 3699    0.9727  0.0530  0.0322
  +1.305 +1.392  5  10 3435    0.9661  0.0551  0.0265
  +1.392 +1.479  5  10 3183    0.9496  0.0273 -0.0433
  +1.479 +1.566  5  10 2946    0.9376  0.0155 -0.1111
  +1.566 +1.653  5  10 2721    0.9362  0.0440 -0.1009
  +1.653 +1.740  5  10 2511    0.9399  0.0406 -0.1721
  +1.740 +1.830  5  10 2315    0.9505  0.0321 -0.3033
  +1.830 +1.930  5  10 2126    0.9406  0.0363 -0.1729
  +1.930 +2.043  5  10 1933    0.9534  0.0262 -0.2534
  +2.043 +2.172  5  10 1733    0.9541  0.0262 -0.2529
  +2.172 +2.322  5  10 1529    0.9708  0.0225 -0.4347
  +2.322 +2.500  5  10 1321    0.9268  0.0257 -0.5000
  +2.500 +2.650  5  10 1108    0.8171  0.1160 -0.1388
  +2.650 +2.853  5  10  956    0.7883  0.0957 -0.5000
  +2.853 +2.964  5  10  781    0.7428  0.1445  0.1872
  +2.964 +3.139  5  10  700    0.8688  0.0976  0.4136
  +3.139 +3.314  5  10  588    0.9481  0.0701  0.1960
  +3.314 +3.489  5  10  493    0.9547  0.0619  0.1472
  +3.489 +3.664  5  10  414    0.9331  0.0568  0.2203
  +3.664 +3.839  5  10  348    0.9182  0.0831  0.2894
  +3.839 +4.013  5  10  292    0.9051  0.1119  0.3407
  +4.013 +4.191  5  10  245    0.9125  0.0982  0.2364
  +4.191 +4.363  5  10  205    0.9320  0.0258  0.0648
  +4.363 +4.538  5  10  173    0.9062  0.1407  0.3877
  +4.538 +4.716  5  10  145    0.9437  0.0846  0.2194
  +4.716 +4.889  5  10  121    0.9366  0.0254  0.5000
  +4.889 +5.191  5  10  102    0.9771 -0.0660  0.0873
