{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9830 -0.0502  0.1223
  -4.889 -4.716  5  10  121    0.9550  0.0664  0.5000
  -4.716 -4.538  5  10  145    0.9780  0.0210  0.0498
  -4.538 -4.363  5  10  173    0.9317  0.1612  0.3789
  -4.363 -4.191  5  10  205    0.9354  0.0491  0.1299
  -4.191 -4.013  5  10  245    0.9301  0.0712  0.1646
  -4.013 -3.839  5  10  292    0.9035  0.1424  0.4077
  -3.839 -3.664  5  10  348    0.9190  0.1034  0.3185
  -3.664 -3.489  5  10  414    0.9304  0.0719  0.2784
  -3.489 -3.314  5  10  493    0.9547  0.0765  0.1818
  -3.314 -3.139  5  10  588    0.9522  0.0706  0.2174
  -3.139 -2.964  5  10  700    0.8713  0.1031  0.4346
  -2.964 -2.853  5  10  781    0.7433  0.1546  0.2045
  -2.853 -2.650  5  10  956    0.7958  0.1000 -0.5000
  -2.650 -2.500  5  10 1108    0.8151  0.1188 -0.0979
  -2.500 -2.322  5  10 1321    0.9216  0.0327 -0.4337
  -2.322 -2.172  5  10 1529    0.9629  0.0336 -0.3553
  -2.172 -2.043  5  10 1733    0.9500  0.0308 -0.2030
  -2.043 -1.930  5  10 1933    0.9439  0.0371 -0.1700
  -1.930 -1.830  5  10 2126    0.9393  0.0389 -0.1490
  -1.830 -1.740  5  10 2315    0.9471  0.0366 -0.2636
  -1.740 -1.653  5  10 2511    0.9336  0.0488 -0.1115
  -1.653 -1.566  5  10 2721    0.9332  0.0472 -0.0692
  -1.566 -1.479  5  10 2946    0.9338  0.0217 -0.0772
  -1.479 -1.392  5  10 3183    0.9468  0.0315 -0.0209
  -1.392 -1.305  5  10 3435    0.9642  0.0556  0.0445
  -1.305 -1.218  5  10 3699    0.9721  0.0525  0.0436
  -1.218 -1.131  5  10 3974    0.9740  0.0298  0.0478
  -1.131 -1.044  5  10 4259    0.9781  0.0172  0.0214
  -1.044 -0.957  5  10 4551    0.9790  0.0185  0.0321
  -0.957 -0.879  5  10 4816    0.9835  0.0089  0.0345
  -0.879 -0.783  5  10 5141    0.9940  0.0019 -0.0131
  -0.783 -0.696  5  10 5430    0.9935  0.0146  0.0467
  -0.696 -0.609  5  10 5708    1.0033 -0.0048 -0.0025
  -0.609 -0.522  5  10 5968    1.0065 -0.0076 -0.0134
  -0.522 -0.435  5  10 6203    1.0107 -0.0082 -0.0217
  -0.435 -0.348  5  10 6408    1.0164 -0.0129 -0.0373
  -0.348 -0.261  5  10 6574    1.0126 -0.0150 -0.0083
  -0.261 -0.174  5  10 6698    1.0151 -0.0184 -0.0198
  -0.174 -0.087  5  10 6774    1.0148 -0.0099  0.0200
  -0.087 -0.000  5  10 6800    1.0133 -0.0231  0.0034
  +0.000 +0.087  5  10 6800    1.0133 -0.0231  0.0034
  +0.087 +0.174  5  10 6774    1.0148 -0.0099  0.0200
  +0.174 +0.261  5  10 6698    1.0151 -0.0184 -0.0198
  +0.261 +0.348  5  10 6574    1.0126 -0.0150 -0.0083
  +0.348 +0.435  5  10 6408    1.0164 -0.0129 -0.0373
  +0.435 +0.522  5  10 6203    1.0107 -0.0082 -0.0217
  +0.522 +0.609  5  10 5968    1.0065 -0.0076 -0.0134
  +0.609 +0.696  5  10 5708    1.0033 -0.0048 -0.0025
  +0.696 +0.783  5  10 5430    0.9935  0.0146  0.0467
  +0.783 +0.879  5  10 5141    0.9940  0.0019 -0.0131
  +0.879 +0.957  5  10 4816    0.9835  0.0089  0.0345
  +0.957 +1.044  5  10 4551    0.9790  0.0185  0.0321
  +1.044 +1.131  5  10 4259    0.9781  0.0172  0.0214
  +1.131 +1.218  5  10 3974    0.9740  0.0298  0.0478
  +1.218 +1.305  5  10 3699    0.9721  0.0525  0.0436
  +1.305 +1.392  5  10 3435    0.9642  0.0556  0.0445
  +1.392 +1.479  5  10 3183    0.9468  0.0315 -0.0209
  +1.479 +1.566  5  10 2946    0.9338  0.0217 -0.0772
  +1.566 +1.653  5  10 2721    0.9332  0.0472 -0.0692
  +1.653 +1.740  5  10 2511    0.9336  0.0488 -0.1115
  +1.740 +1.830  5  10 2315    0.9471  0.0366 -0.2636
  +1.830 +1.930  5  10 2126    0.9393  0.0389 -0.1490
  +1.930 +2.043  5  10 1933    0.9439  0.0371 -0.1700
  +2.043 +2.172  5  10 1733    0.9500  0.0308 -0.2030
  +2.172 +2.322  5  10 1529    0.9629  0.0336 -0.3553
  +2.322 +2.500  5  10 1321    0.9216  0.0327 -0.4337
  +2.500 +2.650  5  10 1108    0.8151  0.1188 -0.0979
  +2.650 +2.853  5  10  956    0.7958  0.1000 -0.5000
  +2.853 +2.964  5  10  781    0.7433  0.1546  0.2045
  +2.964 +3.139  5  10  700    0.8713  0.1031  0.4346
  +3.139 +3.314  5  10  588    0.9522  0.0706  0.2174
  +3.314 +3.489  5  10  493    0.9547  0.0765  0.1818
  +3.489 +3.664  5  10  414    0.9304  0.0719  0.2784
  +3.664 +3.839  5  10  348    0.9190  0.1034  0.3185
  +3.839 +4.013  5  10  292    0.9035  0.1424  0.4077
  +4.013 +4.191  5  10  245    0.9301  0.0712  0.1646
  +4.191 +4.363  5  10  205    0.9354  0.0491  0.1299
  +4.363 +4.538  5  10  173    0.9317  0.1612  0.3789
  +4.538 +4.716  5  10  145    0.9780  0.0210  0.0498
  +4.716 +4.889  5  10  121    0.9550  0.0664  0.5000
  +4.889 +5.191  5  10  102    0.9830 -0.0502  0.1223
