{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9686 -0.0459  0.1331
  -4.889 -4.716  5  10  121    0.9286  0.0126  0.5000
  -4.716 -4.538  5  10  145    0.9195  0.1208  0.3227
  -4.538 -4.363  5  10  173    0.8844  0.1329  0.4362
  -4.363 -4.191  5  10  205    0.9233  0.0286  0.0851
  -4.191 -4.013  5  10  245    0.9021  0.1046  0.2852
  -4.013 -3.839  5  10  292    0.9018  0.1111  0.3441
  -3.839 -3.664  5  10  348    0.9156  0.0789  0.2948
  -3.664 -3.489  5  10  414    0.9286  0.0606  0.2299
  -3.489 -3.314  5  10  493    0.9541  0.0523  0.1430
  -3.314 -3.139  5  10  588    0.9457  0.0689  0.1962
  -3.139 -2.964  5  10  700    0.8620  0.1028  0.4363
  -2.964 -2.853  5  10  781    0.7265  0.1606  0.2483
  -2.853 -2.650  5  10  956    0.7813  0.0971 -0.5000
  -2.650 -2.500  5  10 1108    0.8088  0.1284 -0.0954
  -2.500 -2.322  5  10 1321    0.9250  0.0280 -0.4971
  -2.322 -2.172  5  10 1529    0.9698  0.0233 -0.4325
  -2.172 -2.043  5  10 1733    0.9524  0.0294 -0.2514
  -2.043 -1.930  5  10 1933    0.9534  0.0271 -0.2574
  -1.930 -1.830  5  10 2126    0.9381  0.0395 -0.1619
  -1.830 -1.740  5  10 2315    0.9477  0.0357 -0.2902
  -1.740 -1.653  5  10 2511    0.9385  0.0424 -0.1742
  -1.653 -1.566  5  10 2721    0.9361  0.0451 -0.1052
  -1.566 -1.479  5  10 2946    0.9353  0.0174 -0.1041
  -1.479 -1.392  5  10 3183    0.9494  0.0272 -0.0463
  -1.392 -1.305  5  10 3435    0.9666  0.0561  0.0195
  -1.305 -1.218  5  10 3699    0.9732  0.0542  0.0277
  -1.218 -1.131  5  10 3974    0.9715  0.0344  0.0542
  -1.131 -1.044  5  10 4259    0.9779  0.0183  0.0244
  -1.044 -0.957  5  10 4551    0.9805  0.0170  0.0226
  -0.957 -0.879  5  10 4816    0.9854  0.0088  0.0222
  -0.879 -0.783  5  10 5141    0.9939  0.0031 -0.0010
  -0.783 -0.696  5  10 5430    0.9955  0.0137  0.0398
  -0.696 -0.609  5  10 5708    1.0039 -0.0042 -0.0085
  -0.609 -0.522  5  10 5968    1.0068 -0.0077 -0.0026
  -0.522 -0.435  5  10 6203    1.0121 -0.0097 -0.0247
  -0.435 -0.348  5  10 6408    1.0160 -0.0128 -0.0245
  -0.348 -0.261  5  10 6574    1.0126 -0.0167 -0.0069
  -0.261 -0.174  5  10 6698    1.0122 -0.0170 -0.0007
  -0.174 -0.087  5  10 6774    1.0116 -0.0071  0.0261
  -0.087 -0.000  5  10 6800    1.0124 -0.0257 -0.0048
  +0.000 +0.087  5  10 6800    1.0124 -0.0257 -0.0048
  +0.087 +0.174  5  10 6774    1.0116 -0.0071  0.0261
  +0.174 +0.261  5  10 6698    1.0122 -0.0170 -0.0007
  +0.261 +0.348  5  10 6574    1.0126 -0.0167 -0.0069
  +0.348 +0.435  5  10 6408    1.0160 -0.0128 -0.0245
  +0.435 +0.522  5  10 6203    1.0121 -0.0097 -0.0247
  +0.522 +0.609  5  10 5968    1.0068 -0.0077 -0.0026
  +0.609 +0.696  5  10 5708    1.0039 -0.0042 -0.0085
  +0.696 +0.783  5  10 5430    0.9955  0.0137  0.0398
  +0.783 +0.879  5  10 5141    0.9939  0.0031 -0.0010
  +0.879 +0.957  5  10 4816    0.9854  0.0088  0.0222
  +0.957 +1.044  5  10 4551    0.9805  0.0170  0.0226
  +1.044 +1.131  5  10 4259    0.9779  0.0183  0.0244
  +1.131 +1.218  5  10 3974    0.9715  0.0344  0.0542
  +1.218 +1.305  5  10 3699    0.9732  0.0542  0.0277
  +1.305 +1.392  5  10 3435    0.9666  0.0561  0.0195
  +1.392 +1.479  5  10 3183    0.9494  0.0272 -0.0463
  +1.479 +1.566  5  10 2946    0.9353  0.0174 -0.1041
  +1.566 +1.653  5  10 2721    0.9361  0.0451 -0.1052
  +1.653 +1.740  5  10 2511    0.9385  0.0424 -0.1742
  +1.740 +1.830  5  10 2315    0.9477  0.0357 -0.2902
  +1.830 +1.930  5  10 2126    0.9381  0.0395 -0.1619
  +1.930 +2.043  5  10 1933    0.9534  0.0271 -0.2574
  +2.043 +2.172  5  10 1733    0.9524  0.0294 -0.2514
  +2.172 +2.322  5  10 1529    0.9698  0.0233 -0.4325
  +2.322 +2.500  5  10 1321    0.9250  0.0280 -0.4971
  +2.500 +2.650  5  10 1108    0.8088  0.1284 -0.0954
  +2.650 +2.853  5  10  956    0.7813  0.0971 -0.5000
  +2.853 +2.964  5  10  781    0.7265  0.1606  0.2483
  +2.964 +3.139  5  10  700    0.8620  0.1028  0.4363
  +3.139 +3.314  5  10  588    0.9457  0.0689  0.1962
  +3.314 +3.489  5  10  493    0.9541  0.0523  0.1430
  +3.489 +3.664  5  10  414    0.9286  0.0606  0.2299
  +3.664 +3.839  5  10  348    0.9156  0.0789  0.2948
  +3.839 +4.013  5  10  292    0.9018  0.1111  0.3441
  +4.013 +4.191  5  10  245    0.9021  0.1046  0.2852
  +4.191 +4.363  5  10  205    0.9233  0.0286  0.0851
  +4.363 +4.538  5  10  173    0.8844  0.1329  0.4362
  +4.538 +4.716  5  10  145    0.9195  0.1208  0.3227
  +4.716 +4.889  5  10  121    0.9286  0.0126  0.5000
  +4.889 +5.191  5  10  102    0.9686 -0.0459  0.1331
